organization,primary_sector,scope1_2,revenue,co2_intensity
The AES Corporation,Thermal power generation,59632787.0,12487000064,4775.589548679608
OGE Energy Corp.,Thermal power generation,14300968.0,3264999936,4380.082168552913
"American Electric Power Company, Inc.",Thermal power generation,91100669.0,22432999424,4061.011516031856
Alliant Energy Corporation,Thermal power generation,16203446.995,4417999872,3667.597886929047
The Southern Company,Thermal power generation,105064580.92,30175000576,3481.841886146117
Ameren Corporation,Energy utility networks,29662598.0,8544999936,3471.3397568362484
Xcel Energy Inc.,Thermal power generation,47946006.0,14784000000,3243.101055194805
PPL Corporation,Thermal power generation,29821575.0,9312000000,3202.488724226804
Duke Energy Corporation,Thermal power generation,96572000.0,32718999552,2951.5572395946588
WEC Energy Group,Thermal power generation,27104000.0,10084800512,2687.6089385951354
Pinnacle West Capital Corporation,Thermal power generation,12022443.0,5457255936,2203.0198218652868
DTE Energy Company,Thermal power generation,36184000.0,16515000320,2190.9778564267085
FirstEnergy Corporation,Thermal power generation,32925763.0,15338000384,2146.678978724428
"Air Products & Chemicals, Inc.",Chemicals,25920000.0,12463899648,2079.605960575847
NiSource Inc.,Energy utility networks,12624470.0,6822099968,1850.5255066939528
Dominion Energy,Thermal power generation,27870574.0,17449000960,1597.2590100654106
NRG Energy Inc,Thermal power generation,49900181.0,32384000000,1540.8899765316205
CMS Energy Corporation,Thermal power generation,13218663.0,8821999616,1498.374923529355
Chemours Co/The,Chemicals,8366000.0,5821000192,1437.210053952185
Cabot Corporation,Chemicals,5092000.0,3575000064,1424.3356388370682
"L Brands, Inc.",Discretionary retail,264167.0,206147008,1281.4495954265803
Anadarko Petroleum Corporation,Oil & gas extraction & production,7071480.0,5581263872,1267.003345868683
Public Service Enterprise Group Inc.,Thermal power generation,14650360.0,12794000384,1145.096104446076
California Resources Corp,Oil & gas extraction & production,3830951.0,3464000000,1105.9327367205544
Gran Tierra Energy Inc.,Oil & gas extraction & production,594748.83,600596992,990.2627517654967
"Williams Companies, Inc.",Oil & gas storage & transportation,11576000.0,12108999680,955.9831782900832
"Marriott International, Inc.","Bars, hotels & restaurants",6836301.0,7184000000,951.6009187082404
Jetblue Airways Corporation,Air transport,8397600.0,9162000384,916.5683964241143
The Dow Chemical Company,Chemicals,34774426.0,39331000320,884.1480185368446
Eastman Chemical Company,Chemicals,7427740.0,8638999552,859.791687138173
"Republic Services, Inc.",Non-energy utilities,13500615.0,16695000064,808.6621712036911
LyondellBasell Industries N.V.,Chemicals,23162000.0,29673000960,780.5749081875135
Southwest Airlines Co.,Air transport,20584682.0,28884000768,712.6672708998593
American Airlines Group Inc,Air transport,39748651.0,55993999360,709.8734052634029
Occidental Petroleum Corporation,Oil & gas extraction & production,14470000.0,21119000576,685.1649985958123
"Waste Management, Inc.",Non-energy utilities,16518235.0,25412999168,649.9915610432842
Ashland Global Holdings Inc,Chemicals,1144000.0,1808000000,632.7433628318583
Exelon Corporation,Nuclear power generation,15646344.0,24785999872,631.2573259421019
Avis Budget Group,"Trading, wholesale, distribution, rental & leasing",6872414.0,11751999488,584.7867851779131
Delta Air Lines,Air transport,37301125.03,65178001408,572.2962383658121
United Airlines Holdings,Air transport,33466543.0,60465000448,553.4861945263901
Ingredion Incorporated,Food & beverage processing,3946109.0,7198000128,548.222968856274
Alaska Air Group,Air transport,7761999.0,14401999872,538.9528585603365
International Paper Company,Paper products & packaging,12506279.0,24341000192,513.7947866296126
Sempra Energy,Thermal power generation,6501565.0,13555000320,479.6432937302948
