organization,primary_sector,scope1,scope2,scope3,scope1_2,scope_weighted,total_emission
ABM INDUSTRIES INC,Commercial & consumer services,49224.21,6622.38,3202.27,55846.59,27239.273,59048.85999999999
Abbott Laboratories,Health care provision,518500.0,531500.0,1379.111111111111,1050000.0,418975.8222222222,1051379.111111111
Resolute Forest Products Inc.,Wood & paper materials,1066050.5,1096161.0,512619.9,2162211.5,964397.53,2674831.4
3M Company,Chemicals,4790000.0,1860000.0,1204450.0,6650000.0,3193890.0,7854450.0
Abercrombie & Fitch Co.,Discretionary retail,8817.0,62744.0,60134.0,71561.0,35258.5,131695.0
The AES Corporation,Thermal power generation,59339712.0,293075.0,3631718.6666666665,59632787.0,30484122.233333334,63264505.666666664
"Adobe, Inc.",IT & software development,12119.0,58874.0,102808.74,70993.0,44283.448000000004,173801.74
"Advanced Micro Devices, Inc",Electrical & electronic equipment,2802.0,57781.0,184400.0,60583.0,55615.3,244983.0
Agnico-Eagle Mines Limited,Metallic mineral mining,332437.0,78909.0,,411346.0,,411346.0
AFLAC Incorporated,Financial services,4082.0,14906.333333333334,3046.25,18988.333333333336,7122.15,22034.583333333336
Affiliated Managers Group,Financial services,261.19,900.225,2221.33,1161.415,844.9285,3382.745
Agilent Technologies Inc.,Medical equipment & supplies,7809.0,51675.25,62712.2,59484.25,31949.515,122196.45
Air Canada,Air transport,12870926.0,14303.0,1650321.0,12885229.0,6769818.100000001,14535550.0
"Air Products & Chemicals, Inc.",Chemicals,16366666.666666666,9553333.333333334,1740033.3333333333,25920000.0,11397339.999999998,27660033.333333332
AK Steel Holding Corporation,"Metal smelting, refining & forming",6574261.0,2381598.0,,8955859.0,,8955859.0
Akamai Technologies Inc,IT & software development,0.0,166081.88999999998,10663.393999999998,166081.88999999998,51957.2458,176745.28399999999
Algonquin Power & Utilities Corporation,Renewable power generation,2837895.92,42834.81,,2880730.73,,2880730.73
Allergan plc,Biotech & pharma,80529.0,72899.0,76164.91,153428.0,77367.182,229592.91
The Allstate Corporation,Financial services,45966.0,82887.0,6611.714285714285,128853.0,49171.44285714286,135464.7142857143
Alliant Energy Corporation,Thermal power generation,16199031.0,4415.995,,16203446.995,,16203446.995
"Altria Group, Inc.",Tobacco,162139.0,170119.0,210298.72727272726,332258.0,174164.94545454546,542556.7272727273
AltaGas Ltd.,Energy utility networks,2094111.0,267601.0,4744691.0,2361712.0,2076274.0,7106403.0
American Airlines Group Inc,Air transport,39416842.666666664,331808.3333333333,3097621.875,39748651.0,20427488.208333332,42846272.875
Ameren Corporation,Energy utility networks,29587976.0,74622.0,325324.0,29662598.0,14881439.4,29987922.0
