organization_x,scope1_tco2e
"Micron Technology, Inc.",2945735.0
Honeywell International Inc.,1479149.0
ON Semiconductor,1470613.0
Intel Corporation,1458000.0
Texas Instruments Incorporated,1157555.0
Johnson Controls International PLC,1032520.0
United Technologies Corporation,796383.0
Microchip Technology,529371.0
Eaton Corporation,297169.0
Lockheed Martin Corporation,291522.0
CREE INC.,255500.0
"Technical Consumer Products, Inc",230000.0
Cypress Semiconductor Corporation,142274.0
Northrop Grumman Corp,136791.5
Emerson Electric Co.,133622.0
SOUTHWIRE CO.,105782.0
Lennox International Inc,102200.0
Xerox Corporation,90939.0
Raytheon Company,89311.0
"CommScope, Inc.",87986.82
Flex Ltd.,82432.0
QUALCOMM Inc.,76092.0
Amphenol Corporation,66735.0
HP Inc,64925.0
"Analog Devices, Inc.",63123.0
Dell Technologies,58965.0
Apple Inc.,54590.0
AMKOR TECHNOLOGY INC,50779.27
Jabil Inc.,46351.0
Western Digital Corp,46269.3
Applied Materials Inc.,45326.0
Rockwell Automation,33912.0
Pitney Bowes Inc.,28660.0
LITTELFUSE,27987.14
Lam Research Corp.,27426.3
CAE Inc.,25213.0
KEMET Corporation,24522.65
"Lexmark International, Inc.",21134.0
Motorola Solutions,15291.0
LATTICE SEMICONDUCTOR,12444.0
"ROYAL CONSUMER INFORMATION PRODUCTS, INC.",9633.0
Celestica Inc.,8867.0
Keysight Technologies Inc,7300.85
LUMENTUM,7023.0
Lenovo Group,6031.0
REGAL BELOIT,5854.9875
NetApp Inc.,5354.0
Trimble Navigation Ltd.,4433.29
Form Factor Inc.,3910.0
"Juniper Networks, Inc.",3859.0
Plexus,3693.0
"Itron, Inc.",3445.0
"Advanced Micro Devices, Inc",2802.0
NVIDIA Corporation,2671.0
Teradyne Inc.,1979.0
Ciena Corp.,1977.56
ARTESYN EMBEDDED TECHNOLOGIES,1928.57
KLA,1856.5
"Marvell Technology Group, Ltd.",1821.37
Xilinx Inc,1663.0
Bizlink,1441.38
Visteon,1357.0
Kimball Electronics,1323.35
Arista Networks,801.23
US Cold Storage,678.0
"Integrated Device Technology, Inc.",597.0
L3Harris Technologies INC,532.0
Ribbon,462.7
Netgear,342.015
NEOPHOTONICS CORPORATION,260.19
Turtle & Hughes,241.0
SMART Modular Technologies,159.055
SEMTECH,105.5
SONIM TECHNOLOGIES INC,100.0
BOYD,97.39
VIVOTEK LTD,71.43
ADTRAN INC,60.0
G & W Electric,38.4
VALUTECH OUTSOURCING LLC,1.19
Unigen,0.0
LANNER ELEC,0.0
Actiontec Electronics,
Aurora Corp of America,
Bel Power Solutions,
CLEAVELAND/PRICE INC.,
Contact Technologies,
ISSI,
"MONOLITHIC POWER SYSTEMS, INC.",
NEOGRAF SOLUTIONS,
PCTEL,
"STANDARD CABLE USA, INC.",
