organization,scope1_2,revenue,co2_intensity,primary_sector
Atmos Energy Corp,0.0,4881241088,0.0,Energy utility networks
"comScore, Inc.",0.0,357468992,0.0,IT & software development
Dentsply Sirona Inc.,0.0,3680999936,0.0,Medical equipment & supplies
Fidelity National Information Services,0.0,11440000000,0.0,Specialized professional services
MDU Resources Group Inc,0.0,1806265984,0.0,Construction
Ralph Lauren Corporation,0.0,7833099776,0.0,Discretionary retail
SEI Investments Company,0.0,2368219904,0.0,Financial services
Valmont Inc,0.0,4163984896,0.0,Metal products manufacturing
"Cadence Design Systems, Inc.",0.0,5528612864,0.0,IT & software development
"RPM International, Inc.",0.0,7713562112,0.0,Chemicals
Steel Dynamics Inc.,0.0,19012243456,0.0,"Metal smelting, refining & forming"
Teleflex Incorporated,0.0,2126717056,0.0,Medical equipment & supplies
Extra Space Storage Inc,0.0,3478423040,0.0,Financial services
HARTE-HANKS,0.0,159570000,0.0,Web & marketing services
The Kraft Heinz Company,0.0,24989999104,0.0,Food & beverage processing
